School Year,County,Grade,Vaccine Series,Number of Schools,Total Enrollment Count,Total Vaccinated Count,Percentage Vaccinated,Religious- Flu Only Exemption Count,Religious Exemption Count,Percentage Religious Exemption,Medical Exemption Count,Percentage Medical Exemption,Percentage Compliant,Percentage Non-Compliant
2023-2024,Fairfield,Pre-K,Flu,73,3930,3569,90.8,,,,37,0.9,91.8,8.2
2023-2024,Fairfield,K,Polio,190,10869,10616,97.7,,19,0.2,64,0.6,98.4,1.6
2023-2024,Fairfield,K,DTaP,190,10869,10595,97.5,,19,0.2,64,0.6,98.2,1.8
2023-2024,Fairfield,K,MMR,190,10869,10590,97.4,,19,0.2,64,0.6,98.2,1.8
2023-2024,Fairfield,K,HepB,190,10869,10666,98.1,,19,0.2,64,0.6,98.9,1.1
2023-2024,Fairfield,K,Varicella,190,10869,10551,97.1,,19,0.2,64,0.6,97.8,2.2
2023-2024,Fairfield,K,HepA,190,10869,10586,97.4,,19,0.2,64,0.6,98.2,1.8
2023-2024,Fairfield,K,All,190,10869,10358,95.3,,19,0.2,64,0.6,96.1,3.9
2023-2024,Fairfield,7th,Polio,122,11722,11329,96.6,,242,2.1,25,0.2,98.9,1.1
2023-2024,Fairfield,7th,DTaP,122,11722,11317,96.5,,242,2.1,25,0.2,98.8,1.2
2023-2024,Fairfield,7th,MMR,122,11722,11334,96.7,,242,2.1,25,0.2,99.0,1.0
2023-2024,Fairfield,7th,HepB,122,11722,11327,96.6,,242,2.1,25,0.2,98.9,1.1
2023-2024,Fairfield,7th,Varicella,122,11722,11301,96.4,,242,2.1,25,0.2,98.7,1.3
2023-2024,Fairfield,7th,HepA,122,11722,11265,96.1,,242,2.1,25,0.2,98.4,1.6
2023-2024,Fairfield,7th,MCV,122,11722,11000,93.8,,242,2.1,25,0.2,96.1,3.9
2023-2024,Fairfield,7th,Tdap,122,11722,11051,94.3,,242,2.1,25,0.2,96.6,3.4
2023-2024,Fairfield,7th,All,122,11722,10798,92.1,,242,2.1,25,0.2,94.4,5.6
2023-2024,Hartford,Pre-K,Flu,80,5744,5271,91.8,,,,24,0.4,92.2,7.8
2023-2024,Hartford,K,Polio,166,9300,9121,98.1,,8,0.1,26,0.3,98.4,1.6
2023-2024,Hartford,K,DTaP,166,9300,9121,98.1,,8,0.1,26,0.3,98.4,1.6
2023-2024,Hartford,K,MMR,166,9300,9149,98.4,,8,0.1,26,0.3,98.7,1.3
2023-2024,Hartford,K,HepB,166,9300,9174,98.6,,8,0.1,26,0.3,99.0,1.0
2023-2024,Hartford,K,Varicella,166,9300,9120,98.1,,8,0.1,26,0.3,98.4,1.6
2023-2024,Hartford,K,HepA,166,9300,9115,98.0,,8,0.1,26,0.3,98.4,1.6
